user_id,age,gender,device_type,ad_category,previous_clicks,page_views,session_time,time_of_day,clicked
1,56,Male,Mobile,Food,19,14,351,Morning,0
2,46,Female,Mobile,Electronics,8,3,31,Afternoon,0
3,32,Female,Desktop,Fashion,4,13,83,Night,1
4,25,Male,Mobile,Travel,6,2,175,Afternoon,0
5,38,Female,Mobile,Electronics,5,17,243,Morning,1
6,56,Female,Tablet,Food,16,21,384,Afternoon,0
7,36,Female,Tablet,Fashion,16,3,442,Morning,0
8,40,Female,Mobile,Food,12,26,343,Morning,0
9,28,Female,Mobile,Electronics,11,15,549,Morning,1
10,28,Female,Desktop,Food,3,8,44,Night,0
11,41,Male,Mobile,Fashion,7,6,453,Morning,0
12,53,Male,Tablet,Fashion,4,26,240,Afternoon,1
13,57,Male,Mobile,Electronics,4,9,327,Afternoon,0
14,41,Male,Desktop,Fashion,12,25,352,Night,0
15,20,Male,Tablet,Food,10,11,439,Night,0
16,39,Female,Tablet,Food,7,22,475,Morning,1
17,19,Male,Tablet,Travel,7,2,88,Morning,0
18,41,Male,Tablet,Travel,0,9,582,Morning,1
19,47,Female,Mobile,Travel,12,18,458,Night,0
20,55,Female,Desktop,Food,4,19,291,Night,1
21,19,Male,Mobile,Food,7,22,66,Afternoon,0
22,38,Female,Mobile,Electronics,16,18,200,Morning,0
23,50,Female,Tablet,Travel,12,5,472,Morning,0
24,29,Female,Desktop,Food,8,18,51,Afternoon,1
25,39,Female,Tablet,Electronics,1,12,495,Afternoon,0
26,42,Male,Mobile,Food,18,4,182,Afternoon,0
27,44,Female,Mobile,Electronics,19,15,259,Afternoon,0
28,59,Male,Tablet,Travel,16,11,519,Morning,0
29,45,Male,Mobile,Travel,6,27,511,Night,1
30,33,Female,Mobile,Travel,2,19,202,Morning,0
31,32,Female,Tablet,Food,18,5,174,Afternoon,0
32,20,Female,Mobile,Food,18,6,99,Night,0
33,54,Male,Desktop,Electronics,8,13,67,Morning,1
34,24,Female,Tablet,Fashion,9,23,272,Afternoon,1
35,38,Female,Desktop,Fashion,13,10,252,Night,1
36,26,Female,Mobile,Travel,17,24,228,Night,0
37,56,Female,Mobile,Fashion,14,25,18,Night,1
38,35,Female,Tablet,Travel,0,14,439,Morning,0
39,21,Male,Mobile,Electronics,5,4,22,Afternoon,0
40,42,Female,Tablet,Fashion,14,20,234,Morning,1
41,31,Female,Tablet,Fashion,5,23,76,Morning,0
42,26,Female,Tablet,Travel,17,12,512,Morning,1
43,43,Male,Tablet,Electronics,0,15,193,Night,0
44,19,Female,Tablet,Fashion,2,26,217,Afternoon,0
45,37,Male,Desktop,Fashion,16,10,537,Morning,0
46,45,Male,Tablet,Fashion,15,11,309,Afternoon,0
47,24,Female,Desktop,Electronics,7,9,250,Night,0
48,25,Female,Mobile,Electronics,16,11,464,Morning,0
49,52,Female,Tablet,Fashion,7,2,539,Afternoon,1
50,31,Male,Mobile,Travel,16,13,253,Night,1
51,34,Male,Tablet,Travel,8,27,572,Morning,0
52,53,Male,Desktop,Fashion,11,22,247,Morning,0
53,57,Male,Desktop,Electronics,18,26,255,Afternoon,0
54,21,Male,Desktop,Fashion,3,26,354,Afternoon,0
55,19,Male,Mobile,Electronics,10,8,493,Morning,0
56,23,Female,Tablet,Fashion,3,29,319,Morning,0
57,59,Female,Mobile,Electronics,13,21,570,Night,0
58,21,Male,Desktop,Food,13,21,293,Night,1
59,46,Female,Mobile,Travel,5,8,47,Morning,0
60,35,Female,Desktop,Food,16,1,41,Afternoon,0
